# Menlo Systems GmbH ScanControl
# Program Version 1.10.0
# Start: -166.20000000 ps, Average over 10 waveforms. Timestamp: 2024-12-22T20:21:57
# Window type: Blackman, parameters: total slope amount = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
7.28205575	-69.62661675
7.28938176	-71.22838504
7.29670777	-73.11215756
7.30403378	-70.94539849
7.31135980	-68.87066555
7.31868581	-83.44900021
7.32601182	-75.05674488
7.33333783	-68.45855327
7.34066384	-73.19187998
7.34798985	-74.30518610
7.35531587	-72.72636431
7.36264188	-72.41263956
7.36996789	-74.48331714
7.37729390	-74.82986233
7.38461991	-76.98977569
7.39194593	-80.51945031
7.39927194	-77.52196078
7.40659795	-76.67136632
7.41392396	-80.39553624
7.42124997	-65.55132901
7.42857598	-71.63671930
7.43590200	-71.26176607
7.44322801	-73.67176147
7.45055402	-75.35221901
7.45788003	-68.45127680
